,trialid,sentnum,ianum,ia,lang,uniform_id,skip,firstfix_dur,firstrun_dur,dur,firstrun_nfix,nfix,refix,reread
0,1.0,7.0,123.0,planting,en,en_57,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,7.0,124.0,"times,",en,en_57,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.0,7.0,125.0,as,en,en_57,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1.0,7.0,126.0,well,en,en_57,0.0,408.0,408.0,408.0,1.0,1.0,0.0,0.0
4,1.0,7.0,127.0,as,en,en_57,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1.0,7.0,128.0,at,en,en_57,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1.0,7.0,129.0,"marriages,",en,en_57,0.0,501.0,501.0,501.0,1.0,1.0,0.0,0.0
7,1.0,7.0,130.0,"deaths,",en,en_57,0.0,334.0,334.0,334.0,1.0,1.0,0.0,0.0
8,1.0,7.0,131.0,and,en,en_57,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1.0,7.0,132.0,other,en,en_57,0.0,291.0,291.0,291.0,1.0,1.0,0.0,0.0
10,1.0,7.0,133.0,beginnings.,en,en_57,0.0,171.0,662.0,662.0,3.0,3.0,1.0,0.0
11,1.0,8.0,134.0,Janus,en,en_57,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,1.0,8.0,135.0,had,en,en_57,0.0,355.0,355.0,355.0,1.0,1.0,0.0,0.0
13,1.0,8.0,136.0,no,en,en_57,0.0,191.0,191.0,191.0,1.0,1.0,0.0,0.0
14,1.0,8.0,137.0,specialized,en,en_57,0.0,145.0,354.0,555.0,2.0,3.0,0.0,1.0
15,1.0,8.0,138.0,priest,en,en_57,0.0,224.0,362.0,810.0,2.0,4.0,1.0,1.0
16,1.0,8.0,139.0,assigned,en,en_57,0.0,308.0,308.0,308.0,1.0,1.0,0.0,0.0
17,1.0,8.0,140.0,to,en,en_57,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,1.0,8.0,141.0,"him,",en,en_57,0.0,225.0,225.0,225.0,1.0,1.0,0.0,0.0
19,1.0,8.0,142.0,but,en,en_57,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,1.0,8.0,143.0,the,en,en_57,0.0,207.0,207.0,207.0,1.0,1.0,0.0,0.0
21,1.0,8.0,144.0,high,en,en_57,0.0,176.0,176.0,176.0,1.0,1.0,0.0,0.0
22,1.0,8.0,145.0,priest,en,en_57,0.0,145.0,145.0,336.0,1.0,2.0,0.0,1.0
23,1.0,8.0,146.0,himself,en,en_57,0.0,232.0,232.0,232.0,1.0,1.0,0.0,0.0
24,1.0,8.0,147.0,carried,en,en_57,0.0,214.0,214.0,214.0,1.0,1.0,0.0,0.0
25,1.0,8.0,148.0,out,en,en_57,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,1.0,8.0,149.0,his,en,en_57,0.0,164.0,164.0,381.0,1.0,2.0,0.0,1.0
27,1.0,8.0,150.0,ceremonies.,en,en_57,0.0,41.0,128.0,618.0,2.0,4.0,1.0,1.0
28,1.0,9.0,151.0,Janus,en,en_57,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,1.0,9.0,152.0,represented,en,en_57,0.0,155.0,367.0,367.0,2.0,2.0,1.0,0.0
30,1.0,9.0,153.0,the,en,en_57,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,1.0,9.0,154.0,middle,en,en_57,0.0,292.0,292.0,292.0,1.0,1.0,0.0,0.0
32,1.0,9.0,155.0,ground,en,en_57,0.0,188.0,188.0,188.0,1.0,1.0,0.0,0.0
33,1.0,9.0,156.0,between,en,en_57,0.0,202.0,202.0,202.0,1.0,1.0,0.0,0.0
34,1.0,9.0,157.0,barbarism,en,en_57,0.0,164.0,164.0,635.0,1.0,3.0,1.0,1.0
35,1.0,9.0,158.0,and,en,en_57,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,1.0,9.0,159.0,"civilization,",en,en_57,0.0,499.0,499.0,499.0,1.0,1.0,0.0,0.0
37,1.0,9.0,160.0,rural,en,en_57,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,1.0,9.0,161.0,and,en,en_57,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,1.0,9.0,162.0,urban,en,en_57,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,1.0,9.0,163.0,"space,",en,en_57,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,1.0,9.0,164.0,youth,en,en_57,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,1.0,9.0,165.0,and,en,en_57,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,1.0,9.0,166.0,adulthood.,en,en_57,0.0,151.0,151.0,605.0,1.0,3.0,1.0,1.0
44,1.0,10.0,167.0,The,en,en_57,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,1.0,10.0,168.0,ancient,en,en_57,0.0,183.0,359.0,359.0,2.0,2.0,1.0,0.0
46,1.0,10.0,169.0,Greeks,en,en_57,0.0,252.0,252.0,683.0,1.0,2.0,0.0,1.0
47,1.0,10.0,170.0,had,en,en_57,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
