,trialid,sentnum,ianum,ia,lang,uniform_id,skip,firstfix.dur,firstrun.dur,dur,firstrun.nfix,nfix,refix,reread
0,1.0,1.0,1.0,In,en,en_60,0.0,180.0,180.0,180.0,1.0,1.0,0.0,0.0
1,1.0,1.0,2.0,ancient,en,en_60,0.0,273.0,466.0,710.0,2.0,3.0,1.0,1.0
2,1.0,1.0,3.0,Roman,en,en_60,0.0,156.0,156.0,740.0,1.0,3.0,0.0,1.0
3,1.0,1.0,4.0,religion,en,en_60,0.0,185.0,185.0,681.0,1.0,4.0,1.0,1.0
4,1.0,1.0,5.0,and,en,en_60,0.0,195.0,195.0,337.0,1.0,2.0,0.0,1.0
5,1.0,1.0,6.0,"myth,",en,en_60,0.0,148.0,148.0,148.0,1.0,1.0,0.0,0.0
6,1.0,1.0,7.0,Janus,en,en_60,0.0,336.0,336.0,469.0,1.0,2.0,0.0,1.0
7,1.0,1.0,8.0,is,en,en_60,0.0,146.0,146.0,146.0,1.0,1.0,0.0,0.0
8,1.0,1.0,9.0,the,en,en_60,0.0,237.0,237.0,237.0,1.0,1.0,0.0,0.0
9,1.0,1.0,10.0,god,en,en_60,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,1.0,1.0,11.0,of,en,en_60,0.0,211.0,211.0,211.0,1.0,1.0,0.0,0.0
11,1.0,1.0,12.0,beginnings,en,en_60,0.0,223.0,223.0,223.0,1.0,1.0,0.0,0.0
12,1.0,1.0,13.0,and,en,en_60,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,1.0,1.0,14.0,gates.,en,en_60,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,1.0,2.0,15.0,He,en,en_60,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,1.0,2.0,16.0,has,en,en_60,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,1.0,2.0,17.0,a,en,en_60,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
