,trialid,sentnum,ianum,ia,lang,uniform_id,skip,firstfix.dur,firstrun.dur,dur,firstrun.nfix,nfix,refix,reread
0,1.0,8.0,148.0,le,it,it_1,0.0,230.0,230.0,230.0,1.0,1.0,0.0,0.0
1,1.0,8.0,149.0,sue,it,it_1,0.0,378.0,378.0,378.0,1.0,1.0,0.0,0.0
2,1.0,8.0,150.0,cerimonie.,it,it_1,0.0,199.0,698.0,842.0,3.0,4.0,1.0,1.0
3,1.0,9.0,151.0,Giano,it,it_1,0.0,139.0,139.0,562.0,1.0,3.0,0.0,1.0
4,1.0,9.0,152.0,rappresentava,it,it_1,0.0,100.0,100.0,1076.0,1.0,5.0,1.0,1.0
5,1.0,9.0,153.0,la,it,it_1,0.0,158.0,158.0,158.0,1.0,1.0,0.0,0.0
6,1.0,9.0,154.0,via,it,it_1,0.0,200.0,200.0,200.0,1.0,1.0,0.0,0.0
7,1.0,9.0,155.0,di,it,it_1,0.0,186.0,186.0,186.0,1.0,1.0,0.0,0.0
8,1.0,9.0,156.0,mezzo,it,it_1,0.0,213.0,213.0,400.0,1.0,2.0,0.0,1.0
9,1.0,9.0,157.0,tra,it,it_1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,1.0,9.0,158.0,civiltà,it,it_1,0.0,135.0,310.0,586.0,2.0,3.0,1.0,1.0
11,1.0,9.0,159.0,e,it,it_1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,1.0,9.0,160.0,"barbarie,",it,it_1,0.0,166.0,166.0,575.0,1.0,3.0,1.0,1.0
13,1.0,9.0,161.0,spazio,it,it_1,0.0,193.0,193.0,193.0,1.0,1.0,0.0,0.0
14,1.0,9.0,162.0,urbano,it,it_1,0.0,258.0,258.0,258.0,1.0,1.0,0.0,0.0
15,1.0,9.0,163.0,e,it,it_1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,1.0,9.0,164.0,"rurale,",it,it_1,0.0,172.0,459.0,459.0,2.0,2.0,1.0,0.0
17,1.0,9.0,165.0,giovinezza,it,it_1,0.0,208.0,409.0,409.0,2.0,2.0,1.0,0.0
18,1.0,9.0,166.0,e,it,it_1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,1.0,9.0,167.0,età,it,it_1,0.0,437.0,437.0,437.0,1.0,1.0,0.0,0.0
20,1.0,9.0,168.0,adulta.,it,it_1,0.0,138.0,404.0,404.0,3.0,3.0,1.0,0.0
21,1.0,10.0,169.0,Gli,it,it_1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,1.0,10.0,170.0,antichi,it,it_1,0.0,119.0,119.0,621.0,1.0,4.0,1.0,1.0
23,1.0,10.0,171.0,greci,it,it_1,0.0,199.0,199.0,383.0,1.0,2.0,0.0,1.0
24,1.0,10.0,172.0,non,it,it_1,0.0,140.0,140.0,140.0,1.0,1.0,0.0,0.0
25,1.0,10.0,173.0,avevano,it,it_1,0.0,164.0,328.0,328.0,2.0,2.0,1.0,0.0
26,1.0,10.0,174.0,un,it,it_1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,1.0,10.0,175.0,equivalente,it,it_1,0.0,235.0,235.0,689.0,1.0,3.0,0.0,1.0
28,1.0,10.0,176.0,di,it,it_1,0.0,290.0,290.0,290.0,1.0,1.0,0.0,0.0
29,1.0,10.0,177.0,"Giano,",it,it_1,0.0,185.0,185.0,185.0,1.0,1.0,0.0,0.0
30,1.0,10.0,178.0,che,it,it_1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,1.0,10.0,179.0,i,it,it_1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,1.0,10.0,180.0,Romani,it,it_1,0.0,273.0,465.0,1358.0,2.0,5.0,1.0,1.0
33,1.0,10.0,181.0,sostenevano,it,it_1,0.0,317.0,317.0,860.0,1.0,4.0,1.0,1.0
34,1.0,10.0,182.0,appartenere,it,it_1,0.0,246.0,246.0,624.0,1.0,3.0,1.0,1.0
35,1.0,10.0,183.0,distintamente,it,it_1,0.0,204.0,447.0,594.0,2.0,3.0,1.0,1.0
36,1.0,10.0,184.0,a,it,it_1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,1.0,10.0,185.0,loro.,it,it_1,0.0,108.0,2558.0,2558.0,13.0,13.0,1.0,0.0
38,1.0,1.0,6.0,"Romane,",it,it_1,0.0,142.0,142.0,467.0,1.0,2.0,0.0,1.0
39,1.0,1.0,7.0,Giano,it,it_1,0.0,274.0,274.0,274.0,1.0,1.0,0.0,0.0
40,1.0,1.0,8.0,è,it,it_1,0.0,134.0,134.0,134.0,1.0,1.0,0.0,0.0
41,1.0,1.0,9.0,il,it,it_1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,1.0,1.0,10.0,dio,it,it_1,0.0,140.0,140.0,140.0,1.0,1.0,0.0,0.0
43,1.0,1.0,11.0,degli,it,it_1,0.0,190.0,190.0,190.0,1.0,1.0,0.0,0.0
44,1.0,1.0,12.0,inizi,it,it_1,0.0,128.0,128.0,715.0,1.0,4.0,1.0,1.0
45,1.0,1.0,13.0,e,it,it_1,0.0,168.0,168.0,168.0,1.0,1.0,0.0,0.0
46,1.0,1.0,14.0,dei,it,it_1,0.0,173.0,173.0,173.0,1.0,1.0,0.0,0.0
47,1.0,1.0,15.0,cancelli.,it,it_1,0.0,229.0,229.0,669.0,1.0,3.0,0.0,1.0
48,1.0,2.0,16.0,Egli,it,it_1,0.0,205.0,205.0,205.0,1.0,1.0,0.0,0.0
49,1.0,2.0,17.0,ha,it,it_1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,1.0,2.0,18.0,una,it,it_1,0.0,155.0,155.0,155.0,1.0,1.0,0.0,0.0
51,1.0,2.0,19.0,doppia,it,it_1,0.0,179.0,179.0,179.0,1.0,1.0,0.0,0.0
52,1.0,1.0,1.0,Negli,it,it_1,0.0,163.0,163.0,163.0,1.0,1.0,0.0,0.0
53,1.0,1.0,2.0,antichi,it,it_1,0.0,118.0,303.0,303.0,2.0,2.0,1.0,0.0
54,1.0,1.0,3.0,miti,it,it_1,0.0,168.0,168.0,168.0,1.0,1.0,0.0,0.0
55,1.0,1.0,4.0,e,it,it_1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,1.0,1.0,5.0,religioni,it,it_1,0.0,121.0,121.0,313.0,1.0,2.0,0.0,1.0
57,1.0,2.0,20.0,natura,it,it_1,0.0,245.0,245.0,245.0,1.0,1.0,0.0,0.0
58,1.0,2.0,21.0,ed,it,it_1,0.0,625.0,625.0,625.0,1.0,1.0,0.0,0.0
59,1.0,2.0,22.0,è,it,it_1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,1.0,2.0,23.0,solitamente,it,it_1,0.0,248.0,248.0,248.0,1.0,1.0,0.0,0.0
61,1.0,2.0,24.0,rappresentato,it,it_1,0.0,124.0,124.0,513.0,1.0,3.0,1.0,1.0
62,1.0,2.0,25.0,come,it,it_1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,1.0,2.0,26.0,avente,it,it_1,0.0,188.0,188.0,188.0,1.0,1.0,0.0,0.0
64,1.0,2.0,27.0,due,it,it_1,0.0,160.0,160.0,160.0,1.0,1.0,0.0,0.0
65,1.0,2.0,28.0,"facce,",it,it_1,0.0,368.0,515.0,515.0,2.0,2.0,1.0,0.0
